,City of Interest,City,State,Total INC 5000 Businesses in Area,Construction,IT Services,Advertising & Marketing,Government Services,Health,Financial Services,Food & Beverage,Real Estate,Security,Education,Human Resources,Consulting,Manufacturing,Business Products & Services,Logistics & Transportation,Software,Travel & Hospitality,Retail,Telecommunications,Media,Consumer Products & Services,Energy,Insurance,Environmental Services,Engineering,Computer Hardware,Business Services
"Bloomington,+MN",,Bloomington,MN,76,4,17,8,0,7,4,0,1,1,0,3,0,1,8,2,6,0,5,2,0,2,4,0,0,1,0,0
"Bloomington,+IN",,Bloomington,IN,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bloomsburg,+PA",,Bloomsburg,PA,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blue+Ash,+OH",,Blue Ash,OH,58,0,8,3,0,2,4,2,0,1,0,3,0,7,9,7,0,0,2,1,1,1,2,1,0,4,0,0
"Blue+Bell,+PA",,Blue Bell,PA,122,3,18,7,0,15,10,1,1,0,4,10,0,7,15,3,7,3,2,1,1,4,3,4,3,0,0,0
"Blue+Earth,+MN",,Blue Earth,MN,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blue+Mounds,+WI",,Blue Mounds,WI,11,0,2,0,0,3,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"Bluffdale,+UT",,Bluffdale,UT,86,7,1,6,1,5,7,6,0,5,2,3,0,4,5,4,11,0,8,2,0,6,0,2,0,0,1,0
"Boca+Raton,+FL",,Boca Raton,FL,81,3,11,11,1,8,4,1,1,1,2,4,0,4,6,2,4,4,4,1,1,4,1,2,0,1,0,0
"Boise,+ID",,Boise,ID,9,1,0,1,0,0,1,1,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0
"Bonita+Springs,+FL",,Bonita Springs,FL,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"Boothwyn,+PA",,Boothwyn,PA,112,4,19,5,1,14,8,1,0,0,5,11,0,2,14,3,6,2,2,1,1,5,2,3,3,0,0,0
"Borden,+IN",,Borden,IN,23,0,4,3,0,2,2,1,0,0,0,0,1,1,2,1,1,1,1,1,0,2,0,0,0,0,0,0
"Borger,+TX",,Borger,TX,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Bossier+City,+LA",,Bossier City,LA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
"Boston,+MA",1,Boston,MA,168,5,28,19,3,17,9,4,3,1,3,5,0,4,14,3,16,6,5,6,1,4,5,2,1,4,0,0
"Bothell,+WA",,Bothell,WA,110,0,14,12,0,10,5,2,5,0,0,1,0,5,23,2,10,0,6,2,0,5,3,1,0,3,1,0
"Denver,+CO",1,Denver,CO,114,5,13,13,0,6,2,9,1,1,1,6,0,1,16,0,16,3,2,3,0,8,1,0,1,3,3,0
"Bountiful,+UT",,Bountiful,UT,65,5,1,5,1,3,6,2,1,2,2,2,0,5,5,3,5,0,8,1,0,6,0,1,0,0,1,0
"Bowie,+MD",,Bowie,MD,262,6,54,13,77,11,10,1,7,4,3,6,0,2,25,5,13,3,3,3,1,5,6,1,0,3,0,0
"Bowling+Green,+OH",,Bowling Green,OH,12,2,1,0,0,1,0,1,0,0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0
"Bowling+Green,+KY",,Bowling Green,KY,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
"Boxford,+MA",,Boxford,MA,146,5,24,18,2,14,6,4,3,1,2,4,0,4,14,1,16,5,4,6,1,4,3,1,2,2,0,0
"Bozeman,+MT",,Bozeman,MT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Bradenton,+FL",,Bradenton,FL,20,3,0,1,0,0,1,0,0,1,0,0,0,1,3,1,0,1,2,2,0,3,0,1,0,0,0,0
"Braintree,+MA",,Braintree,MA,155,5,26,18,3,14,8,4,3,1,1,4,0,4,14,2,15,6,5,6,1,5,4,2,1,3,0,0
"Brandon,+MS",,Brandon,MS,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
"Breckenridge,+CO",,Breckenridge,CO,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brecksville,+OH",,Brecksville,OH,62,2,6,4,1,8,4,0,1,2,0,5,0,8,10,2,1,0,1,1,2,2,0,1,0,1,0,0
"Breinigsville,+PA",,Breinigsville,PA,19,0,5,2,1,3,1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,1,0,0
"Bremen,+IN",,Bremen,IN,9,0,1,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Brentwood,+MO",,Brentwood,MO,34,1,4,3,1,3,6,1,0,1,1,1,0,1,2,3,1,0,1,0,0,2,0,0,1,1,0,0
"Brentwood,+TN",,Brentwood,TN,42,4,5,3,1,4,4,1,1,0,1,5,0,1,6,0,4,0,0,0,1,0,0,1,0,0,0,0
