,City of Interest,City,State,Total INC 5000 Businesses in Area,Construction,IT Services,Advertising & Marketing,Government Services,Health,Financial Services,Food & Beverage,Real Estate,Security,Education,Human Resources,Consulting,Manufacturing,Business Products & Services,Logistics & Transportation,Software,Travel & Hospitality,Retail,Telecommunications,Media,Consumer Products & Services,Energy,Insurance,Environmental Services,Engineering,Computer Hardware,Business Services
"Goshen,+NY",,Goshen,NY,12,1,2,1,0,1,1,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0
"Grand+Junction,+CO",,Grand Junction,CO,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grand+Prairie,+TX",,Grand Prairie,TX,142,8,27,5,1,8,12,5,5,3,0,5,0,9,17,1,7,5,6,4,0,6,5,0,3,0,0,0
"Grand+Rapids,+MI",,Grand Rapids,MI,19,0,3,2,0,0,0,0,0,0,1,3,0,5,0,0,1,0,1,1,0,0,0,0,0,0,2,0
"Grandview,+WA",,Grandview,WA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Grandville,+MI",,Grandville,MI,19,0,3,2,0,0,0,0,0,0,1,3,0,5,0,0,1,0,1,1,0,0,0,0,0,0,2,0
"Granger,+IN",,Granger,IN,9,0,1,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Grapevine,+TX",,Grapevine,TX,145,8,28,5,1,8,13,5,5,3,0,5,0,9,17,1,7,5,6,5,0,6,5,1,2,0,0,0
"Great+Bend,+KS",,Great Bend,KS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Great+Neck,+NY",,Great Neck,NY,284,4,38,60,1,16,12,7,3,4,12,11,0,6,26,5,14,7,14,8,14,14,2,1,1,3,1,0
"Greenacres,+FL",,Greenacres,FL,51,2,6,9,1,3,3,1,1,1,2,1,0,4,4,0,4,4,1,1,0,2,0,1,0,0,0,0
"Greenbelt,+MD",,Greenbelt,MD,346,9,78,20,100,11,10,1,8,4,3,9,0,1,32,7,20,4,3,6,3,5,6,1,1,3,1,0
"Greenbelt,+VA",,Greenbelt,VA,346,9,78,20,100,11,10,1,8,4,3,9,0,1,32,7,20,4,3,6,3,5,6,1,1,3,1,0
"Greensboro,+NC",,Greensboro,NC,17,1,2,3,0,1,2,0,1,0,0,0,0,4,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"Greenville,+SC",,Greenville,SC,15,0,2,1,0,1,1,0,0,0,0,1,0,0,2,2,1,1,1,0,0,1,0,1,0,0,0,0
"Greenville,+NC",,Greenville,NC,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Greenwich,+CT",,Greenwich,CT,281,3,36,61,1,16,13,7,3,4,12,11,0,6,25,6,11,6,14,8,15,14,2,2,1,3,1,0
"Greenwood,+IN",,Greenwood,IN,38,1,3,3,0,3,2,0,0,2,1,0,0,0,5,4,6,0,1,0,1,3,1,1,0,1,0,0
"Greenwood,+SC",,Greenwood,SC,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greenwood+Village,+CO",,Greenwood Village,CO,96,5,13,11,0,6,2,6,1,1,1,6,0,1,14,0,10,3,1,3,0,7,0,0,0,2,3,0
"Greenwood+Villiage,+CO",,Greenwood Villiage,CO,96,5,13,11,0,6,2,6,1,1,1,6,0,1,14,0,10,3,1,3,0,7,0,0,0,2,3,0
"Griffin,+GA",,Griffin,GA,5,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Guilford,+CT",,Guilford,CT,18,1,1,2,1,1,2,2,0,0,1,0,0,1,2,1,1,0,1,0,0,0,0,1,0,0,0,0
"Gulf+Breeze,+FL",,Gulf Breeze,FL,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gurnee,+IL",,Gurnee,IL,82,6,15,4,0,5,1,4,1,0,3,3,0,9,7,2,4,1,4,3,0,4,0,0,1,1,4,0
"Hackensack,+NJ",,Hackensack,NJ,301,5,47,58,1,18,14,8,3,2,12,13,0,6,30,3,16,6,14,10,14,13,2,1,1,3,1,0
"Hadley,+MA",,Hadley,MA,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haiku,+HI",,Haiku,HI,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hallandale,+FL",,Hallandale,FL,97,2,13,11,0,9,5,2,2,1,3,6,0,1,9,4,4,5,6,2,1,6,2,2,0,1,0,0
"Hamilton,+OH",,Hamilton,OH,60,0,9,3,0,2,4,2,0,1,0,3,0,8,9,7,0,0,2,1,1,1,2,1,0,4,0,0
"Hamilton,+NJ",,Hamilton,NJ,95,1,20,3,1,9,4,1,1,0,3,9,0,9,10,3,7,1,3,1,1,2,2,3,1,0,0,0
"Hanahan,+SC",,Hanahan,SC,17,0,4,1,0,0,1,1,0,0,1,1,0,1,0,0,5,1,0,0,1,0,0,0,0,0,0,0
"Harbor+City,+CA",,Harbor City,CA,224,4,20,35,2,10,17,5,6,4,1,6,0,4,25,7,14,4,13,8,10,15,2,4,1,3,4,0
"Harrisburg,+PA",,Harrisburg,PA,8,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0
"Hartford,+CT",,Hartford,CT,19,1,3,1,0,2,1,1,0,0,1,0,0,2,2,0,2,0,1,0,0,0,1,0,0,1,0,0
"Hartland,+WI",,Hartland,WI,43,0,5,4,1,1,2,0,1,0,0,4,0,7,5,2,1,0,4,0,1,2,0,0,1,2,0,0
"Hasbrouck+Heights,+NJ",,Hasbrouck Heights,NJ,305,5,53,57,1,17,14,7,2,2,13,14,0,6,30,3,16,6,14,10,12,13,3,2,1,3,1,0
"Hastings,+MN",,Hastings,MN,52,1,14,7,0,3,2,2,0,0,0,1,0,0,7,1,6,0,4,0,0,0,4,0,0,0,0,0
"Hatboro,+PA",,Hatboro,PA,133,4,22,7,0,16,10,1,1,0,4,12,0,8,16,3,8,3,3,1,1,3,3,4,3,0,0,0
"Hattiesburg,+MS",,Hattiesburg,MS,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hauppauge,+NY",,Hauppauge,NY,51,2,5,8,0,4,4,1,1,3,2,0,0,2,1,4,3,2,1,2,3,2,0,1,0,0,0,0
"Hawthorne,+NJ",,Hawthorne,NJ,288,5,46,56,1,17,14,7,2,1,12,13,0,5,31,3,15,6,13,9,12,12,2,1,1,3,1,0
"Haymarket,+VA",,Haymarket,VA,194,4,53,10,63,1,7,1,2,3,1,4,0,1,12,3,14,3,0,6,2,0,1,0,2,0,1,0
"Hayward,+CA",,Hayward,CA,230,4,41,36,0,7,13,12,4,3,6,8,0,5,22,2,27,0,10,7,2,5,6,0,3,1,6,0
"Heber+City,+UT",,Heber City,UT,49,4,1,3,0,3,2,4,0,5,2,2,0,1,3,2,7,0,5,1,0,2,0,2,0,0,0,0
"Hebron,+KY",,Hebron,KY,54,0,8,3,0,2,4,2,0,1,0,3,0,7,9,7,0,0,1,1,1,1,0,1,0,3,0,0
"Hegins,+PA",,Hegins,PA,5,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Henderson,+NV",,Henderson,NV,21,0,2,5,0,1,2,1,1,0,0,0,0,1,3,0,1,0,2,0,0,2,0,0,0,0,0,0
"Hendersonville,+TN",,Hendersonville,TN,43,4,5,3,1,4,4,1,1,0,1,5,0,1,7,0,4,0,0,0,1,0,0,1,0,0,0,0
"Hendersonville,+NC",,Hendersonville,NC,7,1,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0
"Henrietta,+NY",,Henrietta,NY,22,1,4,1,0,0,1,0,0,0,0,2,0,3,3,0,0,0,0,6,0,1,0,0,0,0,0,0
"Hermosa+Beach,+CA",,Hermosa Beach,CA,166,1,15,26,1,7,9,5,2,3,1,1,0,4,18,6,12,4,14,5,8,14,1,2,1,3,3,0
"Herndon,+VA",,Herndon,VA,320,7,80,17,97,10,9,1,8,5,2,7,0,1,25,6,19,5,2,6,2,3,4,0,2,1,1,0
"Hernon+Lake,+MN",,Hernon Lake,MN,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Hewlett,+NY",,Hewlett,NY,267,3,36,57,0,15,12,7,3,3,12,10,0,4,24,4,13,6,14,8,15,14,1,1,1,3,1,0
"Hialeah,+FL",,Hialeah,FL,82,2,11,9,0,8,3,2,2,1,2,5,0,1,8,4,3,4,6,1,1,5,2,1,0,1,0,0
"Hiawatha,+IA",,Hiawatha,IA,11,0,2,0,0,2,0,0,0,0,0,0,0,1,1,2,0,0,1,1,0,0,0,0,0,0,1,0
"Hickory,+NC",,Hickory,NC,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Hickory+Hills,+IL",,Hickory Hills,IL,223,8,42,27,0,12,10,12,5,4,5,11,0,15,20,9,11,1,6,6,3,9,2,1,0,1,3,0
"Hicksville,+NY",,Hicksville,NY,273,4,38,59,0,13,13,7,3,4,12,10,0,6,22,4,13,7,14,8,14,14,1,2,1,3,1,0
"High+Point,+NC",,High Point,NC,16,1,2,3,0,1,1,0,1,0,0,0,0,4,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"Highland+Heights,+OH",,Highland Heights,OH,56,2,6,3,1,8,4,0,1,2,0,5,0,7,9,0,1,0,0,1,2,2,0,1,0,1,0,0
"Highland+Park,+IL",,Highland Park,IL,221,9,40,25,0,14,10,10,6,4,7,10,0,13,20,9,12,1,6,6,2,8,1,1,1,2,4,0
"Highland+Park,+MI",,Highland Park,MI,82,3,18,7,1,4,7,3,1,0,2,7,0,2,8,2,3,0,1,3,1,3,1,0,2,3,0,0
"Highlands+Ranch,+CO",,Highlands Ranch,CO,92,5,13,11,0,6,2,6,0,1,1,6,0,1,12,0,10,3,1,3,0,7,0,0,0,2,2,0
"Hilliard,+OH",,Hilliard,OH,41,1,11,5,1,3,3,1,0,0,0,1,0,1,1,3,2,0,2,1,0,0,2,0,1,1,1,0
"HIlls,+IA",,HIlls,IA,3,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hillsboro,+OR",,Hillsboro,OR,49,1,3,11,0,3,2,3,1,3,0,0,0,2,3,0,8,1,2,3,1,1,0,0,0,1,0,0
"Hilton+Head+Island,+SC",,Hilton Head Island,SC,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"Hinsdale,+IL",,Hinsdale,IL,240,9,45,28,0,13,10,12,6,4,7,11,0,17,23,10,12,1,6,6,3,9,2,1,0,2,3,0
"Hoboken,+NJ",,Hoboken,NJ,316,5,55,58,1,18,14,7,3,3,13,14,0,6,30,3,18,7,14,10,13,13,3,2,2,3,1,0
"Hoffman+Estates,+IL",,Hoffman Estates,IL,245,9,46,26,0,15,10,12,6,4,7,11,0,16,22,10,13,1,7,6,3,10,2,1,1,2,5,0
"Holbrook,+NY",,Holbrook,NY,40,1,4,6,0,2,2,1,1,3,1,0,0,2,1,4,3,2,0,2,2,2,0,1,0,0,0,0
"Holbrook,+MA",,Holbrook,MA,144,5,24,18,2,12,8,4,3,1,1,3,0,3,13,2,15,6,5,6,1,3,3,2,1,3,0,0
"Holland,+OH",,Holland,OH,11,2,0,0,0,1,0,1,0,0,0,0,0,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0
"Holland,+MI",,Holland,MI,19,0,3,2,0,0,0,0,0,0,1,3,0,5,0,0,1,0,1,1,0,0,0,0,0,0,2,0
"Hollywood,+FL",,Hollywood,FL,97,2,13,11,0,9,5,2,2,1,3,6,0,1,9,4,4,5,6,2,1,6,2,2,0,1,0,0
"Holts+Summit,+MO",,Holts Summit,MO,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"Homewood,+IL",,Homewood,IL,149,3,27,21,0,9,9,7,5,4,5,7,0,6,15,5,9,0,3,3,2,5,1,1,0,1,1,0
"Honeoye+Falls,+NY",,Honeoye Falls,NY,22,1,4,1,0,0,1,0,0,0,0,2,0,3,3,0,0,0,0,6,0,1,0,0,0,0,0,0
"Honolulu,+HI",,Honolulu,HI,6,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0
"Hoover,+AL",,Hoover,AL,21,1,3,0,0,4,1,0,0,0,0,2,0,0,4,0,1,0,0,0,1,2,1,0,1,0,0,0
"Hopkinton,+MA",,Hopkinton,MA,154,5,26,17,3,16,7,5,3,1,2,4,0,3,10,2,17,6,5,5,1,4,4,2,2,4,0,0
"Horsham,+PA",,Horsham,PA,133,4,21,7,0,16,10,1,1,0,4,12,0,8,16,3,8,3,3,1,1,4,3,4,3,0,0,0
"Housotn,+TX",,Housotn,TX,102,1,13,6,0,8,3,1,2,1,1,6,0,2,12,3,9,1,3,1,0,4,19,1,2,3,0,0
"San+Diego,+CA",1,San Diego,CA,90,6,5,9,3,5,7,2,3,0,3,2,0,4,11,0,8,3,3,2,0,4,3,0,2,2,2,1
"Hudson,+OH",,Hudson,OH,59,2,6,4,1,7,4,0,1,2,0,5,0,7,10,2,1,0,0,1,2,2,0,1,0,1,0,0
"Hudson,+WI",,Hudson,WI,54,2,14,6,0,3,3,1,0,0,0,2,0,2,5,1,6,0,4,0,0,1,4,0,0,0,0,0
"Hummelstown,+PA",,Hummelstown,PA,14,2,2,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,2,0,0,0,0
"Hunt+Valley,+MD",,Hunt Valley,MD,58,5,10,4,12,2,2,0,0,1,2,1,0,1,7,1,1,0,1,1,1,2,1,1,0,2,0,0
"Huntersville,+NC",,Huntersville,NC,51,4,8,1,0,6,5,2,0,1,0,6,0,4,7,1,3,1,0,0,0,1,0,1,0,0,0,0
"Huntingdon+Valley,+PA",,Huntingdon Valley,PA,131,4,21,7,0,16,10,1,1,0,3,12,0,8,16,3,7,3,3,1,1,4,3,4,3,0,0,0
"Huntington,+NY",,Huntington,NY,79,4,11,11,1,7,6,2,1,3,3,1,0,2,3,5,4,2,3,2,3,3,0,2,0,0,0,0
"Huntington+Beach,+CA",,Huntington Beach,CA,149,3,13,16,2,8,12,2,5,2,0,7,0,2,18,7,9,1,7,8,3,14,3,2,1,1,3,0
"Huntsville,+AL",,Huntsville,AL,22,0,2,1,14,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
"Hyattsville,+MD",,Hyattsville,MD,364,9,87,21,103,11,11,1,8,5,4,9,0,2,32,7,20,4,3,7,3,5,6,0,2,3,1,0
"Hyde+Park,+UT",,Hyde Park,UT,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Idaho+Falls,+ID",,Idaho Falls,ID,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Independence,+OH",,Independence,OH,63,2,6,4,1,8,4,0,2,2,0,5,0,8,10,2,1,0,1,1,2,2,0,1,0,1,0,0
"Indiana,+PA",,Indiana,PA,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Portland,+OR",1,Portland,OR,49,1,3,11,0,3,2,3,1,3,0,0,0,2,3,0,8,1,2,3,1,1,0,0,0,1,0,0
"Inwood,+NY",,Inwood,NY,304,5,47,59,1,18,14,8,3,3,13,11,0,6,29,5,16,7,14,10,14,13,2,1,1,3,1,0
"Irmo,+SC",,Irmo,SC,9,0,1,0,0,0,0,0,0,1,0,0,0,1,2,0,2,0,0,0,0,2,0,0,0,0,0,0
"Irvine,+CA",,Irvine,CA,138,4,13,15,1,7,12,2,6,2,0,7,0,4,17,6,6,0,7,7,3,11,2,2,0,0,4,0
"Irving,+TX",,Irving,TX,146,8,28,5,1,8,13,5,5,3,0,5,0,9,17,1,7,5,6,5,0,6,5,1,3,0,0,0
"Irvington,+NY",,Irvington,NY,281,4,38,59,1,17,13,7,3,3,12,11,0,5,25,4,14,7,14,9,14,13,2,1,1,3,1,0
"iselin,+NJ",,iselin,NJ,301,4,58,51,1,15,12,6,2,1,11,17,0,4,26,4,18,6,15,9,13,14,3,4,2,4,1,0
"Iselin,+NJ",,Iselin,NJ,301,4,58,51,1,15,12,6,2,1,11,17,0,4,26,4,18,6,15,9,13,14,3,4,2,4,1,0
"Isle+of+Palms,+SC",,Isle of Palms,SC,17,0,4,1,0,0,1,1,0,0,1,1,0,1,0,0,5,1,0,0,1,0,0,0,0,0,0,0
"Itasca,+IL",,Itasca,IL,246,9,46,27,0,15,10,12,6,4,7,11,0,17,22,10,13,1,7,6,3,10,2,1,1,2,4,0
"Ithaca,+NY",,Ithaca,NY,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Jackson,+WI",,Jackson,WI,44,1,5,4,1,1,2,0,1,0,0,4,0,7,5,2,1,0,5,0,1,2,0,0,1,1,0,0
"Jackson,+MS",,Jackson,MS,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
"Jackson,+MI",,Jackson,MI,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jacksonville,+FL",,Jacksonville,FL,26,4,5,1,1,3,1,0,1,0,0,1,0,0,3,2,0,0,1,0,0,0,0,2,1,0,0,0
"Jacksonville+Beach,+FL",,Jacksonville Beach,FL,27,4,5,1,1,3,1,0,1,0,0,1,0,0,3,2,0,0,1,0,0,0,1,2,1,0,0,0
"Jamaica,+NY",,Jamaica,NY,291,4,41,59,1,17,13,8,3,3,13,11,0,6,27,4,14,7,14,9,15,14,2,1,1,3,1,0
"Jamestown,+ND",,Jamestown,ND,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Jamesville,+NY",,Jamesville,NY,4,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Janesville,+WI",,Janesville,WI,7,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0
"Jeffersonville,+IN",,Jeffersonville,IN,23,0,4,3,0,2,2,1,0,0,0,0,1,1,2,1,1,1,1,1,0,2,0,0,0,0,0,0
"Jensen+Beach,+FL",,Jensen Beach,FL,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"Jersey+City,+NJ",,Jersey City,NJ,313,5,56,56,1,18,14,7,2,2,13,14,0,6,31,4,18,6,14,10,12,13,3,2,2,3,1,0
"Jersey+Cty,+NJ",,Jersey Cty,NJ,313,5,56,56,1,18,14,7,2,2,13,14,0,6,31,4,18,6,14,10,12,13,3,2,2,3,1,0
"Jessup,+MD",,Jessup,MD,248,7,51,13,72,11,9,1,6,3,3,6,0,2,24,4,13,3,3,2,1,5,5,1,0,3,0,0
"Johns+Creek,+GA",,Johns Creek,GA,186,8,40,12,2,14,13,5,4,4,0,16,0,7,17,6,13,0,5,8,1,4,1,2,1,0,3,0
"Johnson+City,+TN",,Johnson City,TN,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jonesboro,+AR",,Jonesboro,AR,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Joplin,+MO",,Joplin,MO,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Jupiter,+FL",,Jupiter,FL,18,2,2,4,1,1,0,1,0,0,0,0,0,1,2,1,0,1,2,0,0,0,0,0,0,0,0,0
"Kailua,+HI",,Kailua,HI,6,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0
"Kalamazoo,+MI",,Kalamazoo,MI,4,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Kansas+City,+KS",,Kansas City,KS,35,1,6,5,2,2,2,1,1,2,1,1,0,1,3,5,1,0,0,0,0,0,0,0,1,0,0,0
"Kansas+City,+MO",,Kansas City,MO,36,1,6,5,2,2,2,1,1,2,1,1,0,1,3,6,1,0,0,0,0,0,0,0,1,0,0,0
"Kasnas+City,+MO",,Kasnas City,MO,36,1,6,5,2,2,2,1,1,2,1,1,0,1,3,6,1,0,0,0,0,0,0,0,1,0,0,0
"Katy,+TX",,Katy,TX,88,1,12,4,0,7,3,1,1,1,1,6,0,2,10,3,8,0,3,1,0,4,15,1,2,2,0,0
"Kaukauna,+WI",,Kaukauna,WI,5,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"Kennesaw,+GA",,Kennesaw,GA,171,6,36,10,1,14,13,5,5,4,0,16,0,5,15,6,12,0,5,7,2,4,1,2,0,0,2,0
"Kenosha,+WI",,Kenosha,WI,20,1,3,1,0,3,0,0,0,0,1,0,0,4,1,0,2,0,1,0,0,1,0,0,0,1,1,0
"Kent,+WA",,Kent,WA,111,0,14,12,0,10,5,2,5,0,0,1,0,5,23,3,10,0,5,2,0,6,3,1,0,3,1,0
"Kernersville,+NC",,Kernersville,NC,16,1,2,3,0,1,1,0,1,0,0,0,0,4,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"Ketchum,+ID",,Ketchum,ID,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Kettering,+OH",,Kettering,OH,29,1,5,1,1,2,0,0,0,0,1,0,0,6,3,3,0,0,1,1,1,0,2,0,0,1,0,0
"Killingworth,+CT",,Killingworth,CT,25,1,3,2,1,2,1,2,0,0,1,0,0,2,4,0,2,0,1,0,0,0,1,1,0,1,0,0
"Kimberton,+PA",,Kimberton,PA,102,3,19,7,1,15,6,1,0,0,5,6,0,5,11,1,5,1,1,1,1,5,2,3,3,0,0,0
"King+of+Prussia,+PA",,King of Prussia,PA,125,3,19,7,0,17,10,1,1,0,5,11,0,6,15,3,7,2,2,1,1,5,2,4,3,0,0,0
"Kingston,+NH",,Kingston,NH,53,2,12,2,1,4,2,1,1,0,1,3,0,2,6,3,3,0,1,3,0,2,2,0,1,1,0,0
"Kingwood,+TX",,Kingwood,TX,97,0,12,6,0,6,3,1,2,1,0,6,0,2,11,3,9,1,3,1,0,4,20,1,2,3,0,0
"Kirkland,+WA",,Kirkland,WA,111,0,14,12,0,10,5,2,5,0,0,1,0,6,23,3,10,0,5,2,0,5,3,1,0,3,1,0
"Kissimmee,+FL",,Kissimmee,FL,32,3,2,4,1,3,1,0,0,1,0,1,0,0,3,0,6,1,3,1,0,0,0,0,0,2,0,0
"Kitty+Hawk,+NC",,Kitty Hawk,NC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Knightdale,+NC",,Knightdale,NC,40,2,3,6,0,7,2,0,0,2,2,4,0,2,1,0,4,0,0,0,0,1,1,0,1,2,0,0
"Knoxville,+TN",,Knoxville,TN,14,1,1,2,1,1,1,0,0,1,0,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"Kodak,+TN",,Kodak,TN,13,1,1,2,0,1,1,0,0,1,0,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"La+Crosse,+WI",,La Crosse,WI,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0
"La+Grange,+IL",,La Grange,IL,239,9,45,27,0,13,10,12,6,4,7,11,0,17,23,10,12,1,6,6,3,9,2,1,0,2,3,0
"La+Jolla,+CA",,La Jolla,CA,101,6,5,10,4,5,7,2,4,0,3,2,0,6,11,1,10,4,3,2,0,5,3,1,2,2,2,1
"La+Palma,+CA",,La Palma,CA,238,4,20,37,2,10,17,5,7,4,1,7,0,4,28,7,16,4,14,9,9,17,3,3,1,3,6,0
"Lafayette,+CA",,Lafayette,CA,175,2,21,29,0,5,11,11,4,1,5,9,0,5,18,2,22,0,8,3,2,6,6,1,1,0,3,0
"Lafayette,+CO",,Lafayette,CO,109,3,13,14,1,7,1,10,1,1,1,5,0,0,14,0,14,3,1,3,0,6,3,1,1,3,3,0
"Lafayette,+LA",,Lafayette,LA,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
"LaGrange,+OH",,LaGrange,OH,44,1,5,3,1,5,3,0,2,0,0,3,0,4,10,1,1,0,1,0,2,0,0,1,0,1,0,0
"Laguna+Hills,+CA",,Laguna Hills,CA,113,3,10,13,1,6,12,2,5,2,0,7,0,3,12,2,6,0,3,6,2,10,2,2,0,0,4,0
"Laguna+Niguel,+CA",,Laguna Niguel,CA,111,3,10,13,1,6,12,2,5,2,0,7,0,3,11,3,6,0,3,6,2,10,2,2,0,0,2,0
"Lake+Elsinore,+CA",,Lake Elsinore,CA,75,2,8,8,1,4,7,3,4,0,0,5,0,2,8,2,6,0,1,4,1,4,2,2,0,0,1,0
"Lake+Geneva,+WI",,Lake Geneva,WI,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
"Lake+Havasu+City,+AZ",,Lake Havasu City,AZ,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lake+in+the+Hills,+IL",,Lake in the Hills,IL,121,9,21,7,0,7,3,7,1,0,3,5,0,11,9,6,5,1,5,2,2,6,2,1,1,2,5,0
"Lake+Lure,+NC",,Lake Lure,NC,7,1,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0
"Lake+Orion,+MI",,Lake Orion,MI,72,1,17,7,1,3,7,3,1,0,2,7,0,1,8,0,2,0,1,3,1,3,1,0,1,2,0,0
"lake+placid,+FL",,lake placid,FL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Lake+Success,+NY",,Lake Success,NY,283,4,37,60,1,16,12,7,3,4,12,11,0,6,26,5,14,7,14,8,14,14,2,1,1,3,1,0
"lake+worth,+FL",,lake worth,FL,50,2,6,9,1,3,3,1,1,1,2,1,0,4,4,0,3,4,1,1,0,2,0,1,0,0,0,0
"Lake+Zurich,+IL",,Lake Zurich,IL,143,9,26,8,0,9,5,8,1,0,4,8,0,13,10,6,6,1,6,4,2,6,2,1,1,2,5,0
"Lakeland,+FL",,Lakeland,FL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
"Lakeville,+MA",,Lakeville,MA,37,0,5,3,0,2,4,2,0,1,0,0,0,2,2,2,2,1,3,3,0,1,1,2,0,1,0,0
"Lakewood,+CO",,Lakewood,CO,114,5,13,13,0,6,2,9,1,1,1,6,0,1,16,0,16,3,2,3,0,8,1,0,1,3,3,0
